x_m,y_m,curvature_1_per_m,radius_m,heading_rad
1.043141219503629991e+01,2.750833907974832293e+00,-6.519960714470833529e-02,1.533751572736525226e+01,-2.495816777290299059e-03
1.046479298544469927e+01,2.750716556131090229e+00,-5.342231747788719204e-02,1.871876861976129192e+01,-4.469774996102016985e-03
1.049936014376232762e+01,2.750532250466586337e+00,-4.323316889645451716e-02,2.313038866975139385e+01,-6.135088020708555877e-03
1.053513441706778409e+01,2.750287067915825112e+00,-3.441717549172964435e-02,2.905526051201666249e+01,-7.519365090412569001e-03
1.057213655243966599e+01,2.749987085413311938e+00,-2.679004932113070864e-02,3.732729223500338378e+01,-8.647605936379261504e-03
1.061038729695657423e+01,2.749638379893551310e+00,-2.019354514035663628e-02,4.952077473516565220e+01,-9.542473570044675626e-03
1.064990739769710437e+01,2.749247028291048167e+00,-1.449155001343332451e-02,6.900573086198672002e+01,-1.022453593369303596e-02
1.069071760173985730e+01,2.748819107540307449e+00,-9.566793678388535102e-03,1.045282289571069327e+02,-1.071248017399420611e-02
1.073283865616343213e+01,2.748360694575834096e+00,-5.318076669930326197e-03,1.880379058192670527e+02,-1.102330284302433655e-02
1.077629130804642621e+01,2.747877866332132601e+00,-1.657930765918366875e-03,6.031614953752766723e+02,-1.117247892467751295e-02
1.082109630446744042e+01,2.747376699743708350e+00,1.489359111466598317e-03,6.714297393429059184e+02,-1.117411222456404438e-02
1.086727439250507032e+01,2.746863271745066282e+00,4.189430355771043765e-03,2.386959359814814263e+02,-1.104106934473435969e-02
1.091484631923791504e+01,2.746343659270710447e+00,6.499264348860386148e-03,1.538635676782934638e+02,-1.078509918675784815e-02
1.096383283174457546e+01,2.745823939255146673e+00,8.468394963041244589e-03,1.180861313583408077e+02,-1.041693968368740709e-02
1.101425467710364892e+01,2.745310188632879012e+00,1.013993770482048140e-02,9.861993526100307861e+01,-9.946413249284778019e-03
1.106613260239373453e+01,2.744808484338412846e+00,1.155146768638758321e-02,8.656908603730195750e+01,-9.382512247880708117e-03
1.111948735469342964e+01,2.744324903306253116e+00,1.273576995609547631e-02,7.851900618865914794e+01,-8.733475627036715178e-03
1.117433968108133513e+01,2.743865522470904317e+00,1.372148186419261395e-02,7.287842595263606427e+01,-8.006857714744809382e-03
1.123071032863604835e+01,2.743436418766871832e+00,1.453364394368552963e-02,6.880586891179981990e+01,-7.209590060570559081e-03
1.128862004443616840e+01,2.743043669128659712e+00,1.519417313246935672e-02,6.581470352361846210e+01,-6.348037093550511038e-03
1.134808957556029085e+01,2.742693350490773785e+00,1.572226995648162359e-02,6.360404717435490340e+01,-5.428046276730536662e-03
1.140913966908702015e+01,2.742391539787718102e+00,1.613476945640821350e-02,6.197795405144955794e+01,-4.454993357170295050e-03
1.147179107209495186e+01,2.742144313953998491e+00,1.644644410820220864e-02,6.080341704388717261e+01,-3.433823239472992127e-03
1.153606453166268508e+01,2.741957749924118559e+00,1.667026570765199611e-02,5.998704624971750832e+01,-2.369086949064929792e-03
1.160198079486881717e+01,2.741837924632584134e+00,1.681763211813403977e-02,5.946140294754840028e+01,-1.264975097367503597e-03
1.166956060879194901e+01,2.741790915013900154e+00,1.689856388288424327e-02,5.917662630567398452e+01,-1.253482136526679384e-04
1.173882472051067793e+01,2.741822798002570671e+00,1.692187494928795027e-02,5.909510636361714830e+01,1.046235733130462982e-03
1.180979387710360307e+01,2.741939650533101513e+00,1.689532111864480018e-02,5.918798423407601916e+01,2.246496335690557119e-03
1.188248882564932174e+01,2.742147549539996731e+00,1.682572930065737507e-02,5.943278785312030266e+01,3.472408018018940685e-03
1.195693031322643485e+01,2.742452571957761709e+00,1.671911020102678433e-02,5.981179548290710812e+01,4.721179346576669968e-03
1.203313908691353973e+01,2.742860794720900941e+00,1.658075668936360991e-02,6.031087837152148978e+01,5.990234181101081710e-03
1.211113589378923550e+01,2.743378294763919811e+00,1.641532977181961103e-02,6.091866650871136812e+01,7.277194484942328331e-03
1.219094148093212127e+01,2.744011149021322371e+00,1.622693381901795309e-02,6.162593692395545730e+01,8.579864634134267212e-03
1.227257659542079438e+01,2.744765434427614448e+00,1.601918246719209390e-02,6.242515821566042433e+01,9.896217081456703049e-03
1.235606198433385572e+01,2.745647227917300537e+00,1.579525641242496975e-02,6.331014665981448530e+01,1.122437924683871227e-02
1.244141839474990263e+01,2.746662606424885578e+00,1.555795414908052281e-02,6.427580325907440795e+01,1.256262151882509698e-02
1.252866657374753245e+01,2.747817646884874065e+00,1.530973655939762111e-02,6.531791034550278141e+01,1.390934626369281536e-02
1.261782726840534608e+01,2.749118426231770940e+00,1.505276613797400069e-02,6.643297257354409169e+01,1.526307774934126081e-02
1.270892122580194084e+01,2.750571021400081584e+00,1.478894152931672923e-02,6.761809139739031593e+01,1.662245290045216359e-02
